OA21CD,RUC21CD,RUC21NM,Urban_rural_flag,ObjectId
E00087713,RSF1,Smaller rural: Further from a major town or city,Rural,83030
E00087714,RLF1,Larger rural: Further from a major town or city,Rural,83031
E00087715,RLF1,Larger rural: Further from a major town or city,Rural,83032
E00087716,RLF1,Larger rural: Further from a major town or city,Rural,83033
E00087717,RLF1,Larger rural: Further from a major town or city,Rural,83034
E00087718,RLF1,Larger rural: Further from a major town or city,Rural,83035
E00087719,RLF1,Larger rural: Further from a major town or city,Rural,83036
E00087720,RLF1,Larger rural: Further from a major town or city,Rural,83037
E00087721,RLF1,Larger rural: Further from a major town or city,Rural,83038
E00087722,RLF1,Larger rural: Further from a major town or city,Rural,83039
E00087653,UF1,Urban: Further from a major town or city,Urban,83040
E00087654,UF1,Urban: Further from a major town or city,Urban,83041
E00087655,UF1,Urban: Further from a major town or city,Urban,83042
E00087656,UF1,Urban: Further from a major town or city,Urban,83043
E00087657,UF1,Urban: Further from a major town or city,Urban,83044
E00087658,UF1,Urban: Further from a major town or city,Urban,83045
E00087659,UF1,Urban: Further from a major town or city,Urban,83046
E00087660,UF1,Urban: Further from a major town or city,Urban,83047
E00087661,UF1,Urban: Further from a major town or city,Urban,83048
E00087662,UF1,Urban: Further from a major town or city,Urban,83049
E00087663,UF1,Urban: Further from a major town or city,Urban,83050
E00087664,UF1,Urban: Further from a major town or city,Urban,83051
E00087665,UF1,Urban: Further from a major town or city,Urban,83052
E00087666,UF1,Urban: Further from a major town or city,Urban,83053
E00087667,UF1,Urban: Further from a major town or city,Urban,83054
E00087668,UF1,Urban: Further from a major town or city,Urban,83055
